_25._tcp.mta-gw.infomaniak.ch, saopaulo, Secure, AACBoAABAAIAAwAJA18yNQRfdGNwBm10YS1ndwppbmZvbWFuaWFrAmNoAAA0AAEDXzI1BF90Y3AGbXRhLWd3CmluZm9tYW5pYWsCY2gAADQAAQAAASwAIwMBAQG7vDpl5fIGeqQ9urEHWD4aFFZ+0lacY0RdIeHeVWkmA18yNQRfdGNwBm10YS1ndwppbmZvbWFuaWFrAmNoAAAuAAEAAAEsAGEANA0FAAABLGG2YSlhmq7ovnIKaW5mb21hbmlhawJjaAAuAbYBxx7g+2JJNhrp0kgoWapjSkTyrijjx0PcQzioich5/SaSAlqGW+SPLWDrqKLXMxQekKJ74WxudqS6ZrssCmluZm9tYW5pYWsCY2gAAAIAAQABUX8AEwNuczIKaW5mb21hbmlhawJjaAAKaW5mb21hbmlhawJjaAAAAgABAAFRfwATA25zMQppbmZvbWFuaWFrAmNoAAppbmZvbWFuaWFrAmNoAAAuAAEAAVF/AGEAAg0CAAFRgGG2hMhhmtDpvnIKaW5mb21hbmlhawJjaAAq5CzinIYUdwJdtw1bvnD9oHo/DbI8RhqNp8jPUjcugZZ9xhpaQYC2+gKdCgNHrpWeWQXTjmROII+FNggKElrxA25zMQppbmZvbWFuaWFrAmNoAAABAAEAAVF/AARUEEJCA25zMQppbmZvbWFuaWFrAmNoAAAcAAEAAVF/ABAgARYAAACqqgAAAAAAAAAKA25zMgppbmZvbWFuaWFrAmNoAAABAAEAAVF/AARUEENCA25zMgppbmZvbWFuaWFrAmNoAAAcAAEAAVF/ABAgARYAAACqqgAAAAAAAAALA25zMQppbmZvbWFuaWFrAmNoAAAuAAEAAVF/AGEAAQ0DAAFRgGG2gaRhmsmVvnIKaW5mb21hbmlhawJjaACAkMRDMN89BCIKCLTRkPGZ42BiiwjqxHge5OyYcfRmxhHZ8Oio7JxkCwuXWpcvofU6ChAVH92W0YFOIiJhPPGoA25zMQppbmZvbWFuaWFrAmNoAAAuAAEAAVF/AGEAHA0DAAFRgGG2UZJhmpdtvnIKaW5mb21hbmlhawJjaABG+Y/WlDGpoHNxOnqeyxEirA/DZUopTSAAbWOMxerkgki8iI/kGyHzXgQSPOrfrzRjGfSdjBDmEnfY5LusVCWPA25zMgppbmZvbWFuaWFrAmNoAAAuAAEAAVF/AGEAAQ0DAAFRgGG2SN9hmo9vvnIKaW5mb21hbmlhawJjaAB0KKd4Zu5v/ih25pxOZLCIt1xQh7gl2vzEmD7sQdodea6yHLUwOGMMv1gyi+Huwxf1+Sp3SmgY1VD60Ln8rK0TA25zMgppbmZvbWFuaWFrAmNoAAAuAAEAAVF/AGEAHA0DAAFRgGG2SN9hmo9vvnIKaW5mb21hbmlhawJjaADnWQciwfAV2YctZjhye9afr8sbJeUpK4o59Lyo+xA08ROqEhN1mWB1PGKLgjNz3ksNuIdDkeZf8QnbyVwIZbQlAAApEAAAAIAAAAA=
_25._tcp.box.163moda.com.br, saopaulo, Secure, AACBoAABAAIAAAABA18yNQRfdGNwA2JveAcxNjNtb2RhA2NvbQJicgAANAABA18yNQRfdGNwA2JveAcxNjNtb2RhA2NvbQJicgAANAABAAABLAAjAwEBGeorBuLFdL73a9xgnV0fTQre+Q4kGM4wUcpgBjrhT1MDXzI1BF90Y3ADYm94BzE2M21vZGEDY29tAmJyAAAuAAEAAAEsAGIANA0GAAABLGGgc5BhnbRwhskHMTYzbW9kYQNjb20CYnIAhWD09l+9TlyzUxpvwUYdG/T1MZFkeWDRPhkTsluxqA4txb9T0/J0ajAOSKjeEjfcMaeoPdJP1PI4pHsofbaR8QAAKRAAAACAAAAA
_25._tcp.box.senhorbarri.ga, saopaulo, Insecure, AACBgAABAAIAAwAFA18yNQRfdGNwA2JveAtzZW5ob3JiYXJyaQJnYQAANAABA18yNQRfdGNwA2JveAtzZW5ob3JiYXJyaQJnYQAANAABAAAHCAAjAwEBTr0Xb+Un5CfNCWO9xFBLH/feDmHiYvBmINPBurgrlIcDXzI1BF90Y3ADYm94C3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcIAKIANAcFAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAfYCgbBpfRXoIkUM5FLw/vnLX623oIIG84aDdxmei6KpNaKKmpdtRsGu9CtwHAzQJRUxQbGRDBkXVE+ZkpMGBa6JgxxwjDK/CO4xcP9F5Zm9dt87DkGkrOmv6oJiEArS/AuGLV5WgVfqwqItwj+VJVb+6XMwxsqH8GlV38fHyUgQLc2VuaG9yYmFycmkCZ2EAAAIAAQAABwcAGANuczEDYm94C3NlbmhvcmJhcnJpAmdhAAtzZW5ob3JiYXJyaQJnYQAAAgABAAAHBwAYA25zMgNib3gLc2VuaG9yYmFycmkCZ2EAC3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcHAKIAAgcCAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAniYOWG3em4N4hmaZhc2ABukKSkxB0YmDxIkPyFl2+WMtdIX4eLNRqKbo6JtGmWwbhQ6yoHcYqit5+CL/Et3t4o+QY3XP8YFeiLKH1YtgApnes24cxUUXE2jcq8Lyd7jf3eIWf3g95kQZr5/J3rPQUvfZc6aID1PdB7opziZKY08DbnMxA2JveAtzZW5ob3JiYXJyaQJnYQAAAQABAAAHCAAEp2PuGgNuczIDYm94C3NlbmhvcmJhcnJpAmdhAAABAAEAAAcIAASnY+4aA25zMQNib3gLc2VuaG9yYmFycmkCZ2EAAC4AAQAABwgAogABBwQAAAcIYbkwAGGSHjqWqgtzZW5ob3JiYXJyaQJnYQCD7sIk+lfIe4jsonnTp90sChY2ll+UH6gpEh0ZqphSRnHbufADma45MVPEEEPPQE5FM8GRZXV1L006XutMS5VvaOcXC9wt7Jyscx1qMgTlFKyqz2RehRU5/BB2KUW5UttiKYXKVdHzDnJDEZgML/c9xwYtOoYMEPpAK7b6RHQDqANuczIDYm94C3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcIAKIAAQcEAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAnaDlo/92XSaID+ybl77YOx1inodrmH08r2dUXiNPzhYrmepkRvl+7Gy0dAzfv6x3o4bk8TVFlF1A+rxW4duhz19uPy49JPbMsaCHtvVK2bemnfX6X05OsD2CAbmEPSUE27I2DzXyWqeYzHGMsbQux53BU+E+YO+tWLkVeLeSjkQAACkQAAAAgAAAAA==
_25._tcp.mx01.abin.gov.br, saopaulo, Secure, AACBoAABAAMABAADA18yNQRfdGNwBG14MDEEYWJpbgNnb3YCYnIAADQAAQNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAA0AAEAAA4QACMDAQEpYd2S1YQwK/Ht4xMyw+XlOkZeBerKVG3V0LkHWhSnKQNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAA0AAEAAA4QACMCAQG/dxhK2zCOn9MV1cT5oTHyoevFm+EMt0/1Aj7HpNSrcwNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAAuAAEAAA4QAR8ANAUGAAAOEGZQX/phXyg2nckEYWJpbgNnb3YCYnIAolplNKj15M49AVhpOCXmZAmznbeY0lJGkBg3YBJjWKg28z6xFqmAFmWYJ8wiTP+/bNwRgvnSMoNqS42Lmbd9tssXvnz3Ciz5n1KzSaX9K9UViyGm0G/LhHMgOiZRI58rLTQCUbrRBdstM1jv1xA2KBgk/iv8YpaEFAQigR7jVL0KmS/sWfHiYz3vFWhhJNvmqpBfz0XV8rKhDOBZRy1eLzKmF6lBgbnb1k+PTHDBb5XF0Jbw9tK8QEIgnYxLFrNhqRryucyHxXHBEbnmeaReLTD3owa8ti90QcpJvn0pOswXiCQF62+39AJuoNS7Q3AhOyLgGs0a8xDg6BY1YAz7zgRhYmluA2dvdgJicgAAAgABAAAOEAAUBGJzYTEGc2VycHJvA2dvdgJicgAEYWJpbgNnb3YCYnIAAAIAAQAADhAAFARic2EyBnNlcnBybwNnb3YCYnIABGFiaW4DZ292AmJyAAACAAEAAA4QABIEZG5zMgRhYmluA2dvdgJicgAEYWJpbgNnb3YCYnIAAC4AAQAADhABHwACBQMAAA4QZlBf+mFfKDadyQRhYmluA2dvdgJicgA9p7GkBMjuSXrocwfM0YMMXtTxgf/gTlP1rdVScAeCrbya2Q1CWUw5SLVxt3EqzzoPtg99M8Y/Z+e9mb9ja7mpXXyihw4MassGZSJ7Wu6cIHLNYoL89VI+srlZ+aI0qIuMKnQR3lr4ayR0M4cBmq1p24GvoVf5A/LqJjk6AKWSlfHCteRwY673XqUSGtopIgGRHgDDzvIWW0gWCMB3Uskajb2/Wv+YE2Vb7d2OXoTpha8Opo2BCYtd4IQZygNbEWeM0sZYLdpUtLmHFOn6YcN80qzkEIg6k6On0VTe0RLGiBE1ZhsJ66SBvI9fnXcTYeEBXy/tZhJmuvZWgYjU3a7HBGRuczIEYWJpbgNnb3YCYnIAAAEAAQAADhAABMjG3BgEZG5zMgRhYmluA2dvdgJicgAALgABAAAOEAEfAAEFBAAADhBmUF/6YV8oNp3JBGFiaW4DZ292AmJyAF/uD1HBJ4NhXRxjYRVBqiQXxClM7JsoNvYmfHdD8iCGI7PbubX1hlq+7lnqfT2wWGP/TYSPXbka+UuYzab26F3qvoOcG4JlgavyciO1Iw4USt8RF1lZgsvtggPe5aY6OYghUDrwFF8BL3BPS+zmjjJG7wNlmew5noFg60qbMDdzSFK291YbpLtdpTarSAdHDQKXVYjW5vyfwxJVTj6jevE18PFE+ZbvnK7F9OToAF5r/Z6POxq28l12YmSOo8K907pb3pkQuG2dHBygBv1YVYZ8la2Wm2R/n2nMwsIiPK1qRES83O2mTDAgP+XAL2xQE0GSPfBRbJEer3a7JC/NnL0AACkQAAAAgAAAAA==
_25._tcp.mx02.abin.gov.br, saopaulo, Secure, AACBoAABAAMABAADA18yNQRfdGNwBG14MDIEYWJpbgNnb3YCYnIAADQAAQNfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAA0AAEAAA4QACMCAQG/dxhK2zCOn9MV1cT5oTHyoevFm+EMt0/1Aj7HpNSrcwNfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAA0AAEAAA4QACMDAQETPOUt/9wgh0aJoh6ynfFE7cEj9O42NytwqaE4+4UqgANfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAAuAAEAAA4QAR8ANAUGAAAOEGZQX/phXyg2nckEYWJpbgNnb3YCYnIAl0twjjhN0H6e4IEahhJrCZ0NJhQbYAOdtRC0yoxGQ3ucSgljm7nEdLozFC9J6wXnjuc6iKp3samLmCdkOxlbNU4AygsSd6OiNbBM1jk5LS432dowVt9oDW314tidw2DAKqYYocHO8qpCCXub2uhVuil4NTNGY/d07EyKD5vc3D5+2c1atov4YIyKOOTYi0eD36XUJLKnZFahrEIU9d44HZbDpgLmREj7XGllb+PSjW6ituKwT3vX6/QaYpzQcGpaBg79IL8BdZJviTRH136+ceoNe+vThtHfRMoUMzP3NNsvnAbb2n0OZuKQfdqJpBJeB5fLrqklogNrR1jWkzIZsARhYmluA2dvdgJicgAAAgABAAAOEAAUBGJzYTIGc2VycHJvA2dvdgJicgAEYWJpbgNnb3YCYnIAAAIAAQAADhAAEgRkbnMyBGFiaW4DZ292AmJyAARhYmluA2dvdgJicgAAAgABAAAOEAAUBGJzYTEGc2VycHJvA2dvdgJicgAEYWJpbgNnb3YCYnIAAC4AAQAADhABHwACBQMAAA4QZlBf+mFfKDadyQRhYmluA2dvdgJicgA9p7GkBMjuSXrocwfM0YMMXtTxgf/gTlP1rdVScAeCrbya2Q1CWUw5SLVxt3EqzzoPtg99M8Y/Z+e9mb9ja7mpXXyihw4MassGZSJ7Wu6cIHLNYoL89VI+srlZ+aI0qIuMKnQR3lr4ayR0M4cBmq1p24GvoVf5A/LqJjk6AKWSlfHCteRwY673XqUSGtopIgGRHgDDzvIWW0gWCMB3Uskajb2/Wv+YE2Vb7d2OXoTpha8Opo2BCYtd4IQZygNbEWeM0sZYLdpUtLmHFOn6YcN80qzkEIg6k6On0VTe0RLGiBE1ZhsJ66SBvI9fnXcTYeEBXy/tZhJmuvZWgYjU3a7HBGRuczIEYWJpbgNnb3YCYnIAAAEAAQAADhAABMjG3BgEZG5zMgRhYmluA2dvdgJicgAALgABAAAOEAEfAAEFBAAADhBmUF/6YV8oNp3JBGFiaW4DZ292AmJyAF/uD1HBJ4NhXRxjYRVBqiQXxClM7JsoNvYmfHdD8iCGI7PbubX1hlq+7lnqfT2wWGP/TYSPXbka+UuYzab26F3qvoOcG4JlgavyciO1Iw4USt8RF1lZgsvtggPe5aY6OYghUDrwFF8BL3BPS+zmjjJG7wNlmew5noFg60qbMDdzSFK291YbpLtdpTarSAdHDQKXVYjW5vyfwxJVTj6jevE18PFE+ZbvnK7F9OToAF5r/Z6POxq28l12YmSOo8K907pb3pkQuG2dHBygBv1YVYZ8la2Wm2R/n2nMwsIiPK1qRES83O2mTDAgP+XAL2xQE0GSPfBRbJEer3a7JC/NnL0AACkQAAAAgAAAAA==
_25._tcp.mta-gw.infomaniak.ch, saopaulo, Secure, AACBoAABAAIAAwAJA18yNQRfdGNwBm10YS1ndwppbmZvbWFuaWFrAmNoAAA0AAEDXzI1BF90Y3AGbXRhLWd3CmluZm9tYW5pYWsCY2gAADQAAQAAASgAIwMBAQG7vDpl5fIGeqQ9urEHWD4aFFZ+0lacY0RdIeHeVWkmA18yNQRfdGNwBm10YS1ndwppbmZvbWFuaWFrAmNoAAAuAAEAAAEoAGEANA0FAAABLGG2YSlhmq7ovnIKaW5mb21hbmlhawJjaAAuAbYBxx7g+2JJNhrp0kgoWapjSkTyrijjx0PcQzioich5/SaSAlqGW+SPLWDrqKLXMxQekKJ74WxudqS6ZrssCmluZm9tYW5pYWsCY2gAAAIAAQABUXsAEwNuczIKaW5mb21hbmlhawJjaAAKaW5mb21hbmlhawJjaAAAAgABAAFRewATA25zMQppbmZvbWFuaWFrAmNoAAppbmZvbWFuaWFrAmNoAAAuAAEAAVF7AGEAAg0CAAFRgGG2hMhhmtDpvnIKaW5mb21hbmlhawJjaAAq5CzinIYUdwJdtw1bvnD9oHo/DbI8RhqNp8jPUjcugZZ9xhpaQYC2+gKdCgNHrpWeWQXTjmROII+FNggKElrxA25zMQppbmZvbWFuaWFrAmNoAAABAAEAAVF7AARUEEJCA25zMQppbmZvbWFuaWFrAmNoAAAcAAEAAVF7ABAgARYAAACqqgAAAAAAAAAKA25zMgppbmZvbWFuaWFrAmNoAAABAAEAAVF7AARUEENCA25zMgppbmZvbWFuaWFrAmNoAAAcAAEAAVF7ABAgARYAAACqqgAAAAAAAAALA25zMQppbmZvbWFuaWFrAmNoAAAuAAEAAVF7AGEAAQ0DAAFRgGG2gaRhmsmVvnIKaW5mb21hbmlhawJjaACAkMRDMN89BCIKCLTRkPGZ42BiiwjqxHge5OyYcfRmxhHZ8Oio7JxkCwuXWpcvofU6ChAVH92W0YFOIiJhPPGoA25zMQppbmZvbWFuaWFrAmNoAAAuAAEAAVF7AGEAHA0DAAFRgGG2UZJhmpdtvnIKaW5mb21hbmlhawJjaABG+Y/WlDGpoHNxOnqeyxEirA/DZUopTSAAbWOMxerkgki8iI/kGyHzXgQSPOrfrzRjGfSdjBDmEnfY5LusVCWPA25zMgppbmZvbWFuaWFrAmNoAAAuAAEAAVF7AGEAAQ0DAAFRgGG2SN9hmo9vvnIKaW5mb21hbmlhawJjaAB0KKd4Zu5v/ih25pxOZLCIt1xQh7gl2vzEmD7sQdodea6yHLUwOGMMv1gyi+Huwxf1+Sp3SmgY1VD60Ln8rK0TA25zMgppbmZvbWFuaWFrAmNoAAAuAAEAAVF7AGEAHA0DAAFRgGG2SN9hmo9vvnIKaW5mb21hbmlhawJjaADnWQciwfAV2YctZjhye9afr8sbJeUpK4o59Lyo+xA08ROqEhN1mWB1PGKLgjNz3ksNuIdDkeZf8QnbyVwIZbQlAAApEAAAAIAAAAA=
_25._tcp.mail.gaduhost.com.br, saopaulo, Insecure, AACBgAABAAEAAAABA18yNQRfdGNwBG1haWwIZ2FkdWhvc3QDY29tAmJyAAA0AAEDXzI1BF90Y3AEbWFpbAhnYWR1aG9zdANjb20CYnIAADQAAQAAASwAIwMBAR2CT2lnczVWIzbmDEIGHnXNxikvYfvsJRZmx5aOUvlQAAApEAAAAIAAAAA=
_25._tcp.box.adsistem.com.br, saopaulo, Secure, AACBoAABAAIAAAABA18yNQRfdGNwA2JveAhhZHNpc3RlbQNjb20CYnIAADQAAQNfMjUEX3RjcANib3gIYWRzaXN0ZW0DY29tAmJyAAA0AAEAAA4QACMDAQGwJ3ILDwde02Ml9pgx2zrbNhXu4BUexGbwMnuA7FsF0wNfMjUEX3RjcANib3gIYWRzaXN0ZW0DY29tAmJyAAAuAAEAAA4QAGMANA0GAAAOEGG4hKJhg7qSczIIYWRzaXN0ZW0DY29tAmJyADpC3aaScmC+E++f6+CaNn3qblCHE20SkS9OoG41iJKmK233Qw/XwBwjDWvQr/qejkuYEtyu5dDhOhzLQ79dTiAAACkQAAAAgAAAAA==
_25._tcp.mx1.pub.mailpod8-cph3.one.com, saopaulo, Secure, AACBoAABAAMAAAABA18yNQRfdGNwA214MQNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEDXzI1BF90Y3ADbXgxA3B1Yg1tYWlscG9kOC1jcGgzA29uZQNjb20AADQAAQAAADwAIwMBAUBVO3cstIawZpXb1S9Nc/PAE1AYaPC5NfTFMtAT0ObyA18yNQRfdGNwA214MQNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEAAAA8ACMDAQHZZaPYm0u6YlIcFe+GWQByy2N6xwUMx/sn+M8WsivIFQNfMjUEX3RjcANteDEDcHViDW1haWxwb2Q4LWNwaDMDb25lA2NvbQAALgABAAAAPABbADQNBwAAADxhsUcAYZWXgEJ3A29uZQNjb20AEAJmia/OtqEW0pa75BQ4Ig0s+UXD5WFU8itHTBTfs7KB8vov7XPDIqiHVkBktyGPSMuufAlbg6qSBPbrXgpTXgAAKRAAAACAAAAA
_25._tcp.mx2.pub.mailpod8-cph3.one.com, saopaulo, Secure, AACBoAABAAMAAAABA18yNQRfdGNwA214MgNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEDXzI1BF90Y3ADbXgyA3B1Yg1tYWlscG9kOC1jcGgzA29uZQNjb20AADQAAQAAADwAIwMBAUBVO3cstIawZpXb1S9Nc/PAE1AYaPC5NfTFMtAT0ObyA18yNQRfdGNwA214MgNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEAAAA8ACMDAQHZZaPYm0u6YlIcFe+GWQByy2N6xwUMx/sn+M8WsivIFQNfMjUEX3RjcANteDIDcHViDW1haWxwb2Q4LWNwaDMDb25lA2NvbQAALgABAAAAPABbADQNBwAAADxhsUcAYZWXgEJ3A29uZQNjb20AFM/yunst5DZHmylq6ElUPRTTtiSTKXNlNGvQKKySW9tqAucYvzvneU0/j2eY5PqYh1Ldq5aJqn6wtJNQPmjMHwAAKRAAAACAAAAA
_25._tcp.mx3.pub.mailpod8-cph3.one.com, saopaulo, Secure, AACBoAABAAMAAAABA18yNQRfdGNwA214MwNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEDXzI1BF90Y3ADbXgzA3B1Yg1tYWlscG9kOC1jcGgzA29uZQNjb20AADQAAQAAADwAIwMBAdllo9ibS7piUhwV74ZZAHLLY3rHBQzH+yf4zxayK8gVA18yNQRfdGNwA214MwNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEAAAA8ACMDAQFAVTt3LLSGsGaV29UvTXPzwBNQGGjwuTX0xTLQE9Dm8gNfMjUEX3RjcANteDMDcHViDW1haWxwb2Q4LWNwaDMDb25lA2NvbQAALgABAAAAPABbADQNBwAAADxhsUcAYZWXgEJ3A29uZQNjb20ADdRi9Vv3LR69rEHVQ6oiTmD11qDE66t76/pFJcRSV0sqNNe1p15vPFO4LSIVOkPHG+tfpkEvqFw+wnyRjE7PkAAAKRAAAACAAAAA
