#date,br_mxcount,br_one_tlsa_sig,br_one_tlsa_unsig,br_all_tlsa_sig,br_all_tlsa_one_unsig
2021-11-05,717568,574,0,488,0
2021-11-06,716416,568,0,474,0
2021-11-07,716416,568,0,474,0
2021-11-08,719821,546,0,429,0
2021-11-09,721280,617,0,571,0
2021-11-10,721527,544,0,417,0
2021-11-11,720474,534,0,413,0
2021-11-12,721386,542,0,409,0
2021-11-13,721386,542,0,409,0
2021-11-14,720404,485,0,353,0
2021-11-15,719893,617,0,563,0
2021-11-16,719893,617,0,563,0
2021-11-17,720337,533,0,398,0
2021-11-18,720187,625,0,571,0
2021-11-19,719872,616,0,568,0
2021-11-20,720216,639,0,600,0
2021-11-21,720275,552,0,419,0
2021-11-22,720410,480,0,388,0
2021-11-23,719373,613,0,566,0
2021-11-24,719539,625,0,579,0
2021-11-25,718408,548,0,518,0
2021-11-26,718533,631,0,590,0
2021-11-27,718169,639,0,607,0
2021-11-28,718553,554,0,437,0
2021-11-29,717879,553,0,430,0
2021-11-30,717522,639,0,601,0
2021-12-01,718021,639,0,599,0
2021-12-02,717780,605,0,565,0
2021-12-03,715152,442,0,325,0
2021-12-04,717805,531,0,386,0
2021-12-05,717486,635,0,602,0
2021-12-06,717030,619,0,561,0
2021-12-07,717030,619,0,561,0
2021-12-08,716593,621,0,572,0
2021-12-09,716792,622,0,568,0
2021-12-10,716426,612,0,562,0
2021-12-11,716342,544,0,432,0
2021-12-12,716455,583,0,532,0
2021-12-13,716317,543,0,415,0
2021-12-14,715474,588,0,533,0
2021-12-15,715327,516,0,408,0
2021-12-16,715525,562,0,486,0
2021-12-17,715749,606,0,559,0
2021-12-18,715741,552,0,481,0
2021-12-19,715685,617,0,570,0
2021-12-20,715685,617,0,570,0
2021-12-21,715102,430,0,325,0
2021-12-22,715087,576,0,525,0
2021-12-23,715108,548,0,431,0
2021-12-24,714986,547,0,430,0
2021-12-25,714843,624,0,592,0
2021-12-26,714762,553,0,464,0
2021-12-27,714623,617,0,572,0
2021-12-28,713841,498,0,357,0
2021-12-29,713850,500,0,365,0
2021-12-30,713637,548,0,426,0
2021-12-31,713693,545,0,432,0
2022-01-01,713253,621,0,584,0
2022-01-02,713253,621,0,584,0
2022-01-03,712967,549,0,441,0
2022-01-04,712290,618,0,573,0
2022-01-05,712347,617,0,574,0
2022-01-06,712650,542,0,420,0
2022-01-07,712411,542,0,425,0
2022-01-08,712554,610,0,563,0
2022-01-09,712595,547,0,428,0
2022-01-10,712617,537,0,404,0
2022-01-11,712426,532,0,403,0
2022-01-12,712124,519,0,399,0
2022-01-13,712260,519,0,397,0
